z6-12548,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port4,Port5,Port5,Port7,Port7,Port8,Port8, 
# Records: 1219,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ECRN-100 Precipitation,ECRN-100 Precipitation,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Air Temperature,raw  Vapor Pressure,raw  Atmospheric Pressure,raw  VPD,raw  Precipitation,raw  Max Precip Rate,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2021/06/30 19:00:00,428,23797,7696,1925,23955,7514,2314,25309,7380,2622,7662,2827,9772,0.6579379591269481,0,0,2100,8242,9763,7876,UTC+00:00
2021/06/30 20:00:00,429,23801,7752,1929,23957,7532,2313,25309,7380,2622,7642,2810,9768,0.6340963075613213,0,0,2100,8257,9758,7834,UTC+00:00
2021/06/30 21:00:00,430,23801,7789,1930,23960,7553,2306,25306,7380,2622,7712,2803,9764,0.7858973792345507,0,0,2100,8291,9755,7897,UTC+00:00
2021/06/30 22:00:00,431,23805,7845,1933,23962,7576,2310,25304,7380,2622,7814,2792,9759,1.0173998772936659,0,0,2100,8307,9750,8037,UTC+00:00
2021/06/30 23:00:00,432,23805,7911,1934,23965,7600,2312,25305,7380,2622,7693,2756,9759,0.7930782745029448,0,0,2100,8289,9749,7907,UTC+00:00
2021/07/01 00:00:00,433,23793,7930,1937,23971,7628,2311,25304,7380,2622,7652,2817,9755,0.6474645840164208,0,0,2100,8282,9745,7719,UTC+00:00
2021/07/01 01:00:00,434,23784,7915,1937,23972,7651,2313,25303,7380,2622,7710,2816,9753,0.7686876125543889,0,0,2100,8266,9744,7777,UTC+00:00
2021/07/01 02:00:00,435,23776,7890,1940,23974,7665,2315,25305,7380,2622,7514,2755,9757,0.4374680867641607,0,0,2100,8251,9747,7550,UTC+00:00
2021/07/01 03:00:00,436,23765,7842,1943,23973,7670,2316,25307,7380,2622,7304,2681,9759,0.13334934760464323,0,0,2100,8240,9750,7291,UTC+00:00
2021/07/01 04:00:00,437,23759,7785,1944,23972,7670,2316,25307,7380,2623,7186,2588,9762,0.0315736640465607,0,0,2100,8226,9751,7141,UTC+00:00
