z6-12551,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port6,Port7,Port7,Port8,Port8, 
# Records: 3073,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Unrecognized Sensor,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Sensor Output,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/18 23:00:00,40914,24815,6340,2286,22950,6350,1500,21294,6370,1362,0,2100,8535,9639,6645,UTC+00:00
2025/11/19 00:00:00,40915,24811,6340,2287,22948,6357,1505,21295,6370,1362,0,2100,8505,9645,6276,UTC+00:00
2025/11/19 01:00:00,40916,24808,6340,2287,22948,6361,1505,21295,6370,1361,0,2100,8489,9653,6002,UTC+00:00
2025/11/19 02:00:00,40917,24805,6333,2287,22947,6370,1505,21297,6370,1364,0,2100,8478,9658,5806,UTC+00:00
2025/11/19 03:00:00,40918,24805,6322,2287,22948,6370,1502,21296,6370,1365,0,2100,8467,9665,5588,UTC+00:00
2025/11/19 04:00:00,40919,24804,6306,2288,22947,6370,1499,21297,6380,1367,0,2100,8459,9670,5440,UTC+00:00
2025/11/19 05:00:00,40920,24802,6293,2288,22947,6370,1501,21297,6380,1367,0,2100,8450,9672,5354,UTC+00:00
2025/11/19 06:00:00,40921,24803,6276,2288,22947,6370,1502,21298,6380,1364,0,2100,8445,9674,5285,UTC+00:00
2025/11/19 07:00:00,40923,24803,6262,2287,22946,6363,1505,21299,6380,1366,0,2100,8422,9673,5275,UTC+00:00
2025/11/19 08:00:00,40924,24804,6247,2286,22945,6360,1505,21297,6380,1365,0,2100,8421,9675,5314,UTC+00:00
2025/11/19 09:00:00,40925,24802,6236,2285,22944,6352,1504,21297,6380,1366,0,2100,8418,9680,5391,UTC+00:00
2025/11/19 10:00:00,40926,24802,6226,2283,22944,6346,1502,21299,6380,1368,0,2100,8416,9680,5404,UTC+00:00
2025/11/19 11:00:00,40927,24801,6219,2282,22944,6340,1502,21299,6380,1366,0,2100,8409,9681,5398,UTC+00:00
2025/11/19 12:00:00,40928,24800,6210,2282,22944,6331,1505,21299,6380,1366,0,2100,8403,9681,5391,UTC+00:00
2025/11/19 13:00:00,40929,24799,6201,2284,22943,6325,1505,21299,6371,1363,0,2100,8403,9685,5396,UTC+00:00
2025/11/19 14:00:00,40930,24799,6195,2284,22942,6320,1502,21297,6370,1362,0,2100,8399,9689,5413,UTC+00:00
2025/11/19 15:00:00,40931,24798,6186,2284,22942,6311,1502,21299,6370,1363,0,2100,8403,9693,5477,UTC+00:00
2025/11/19 16:00:00,40932,24798,6180,2283,22942,6306,1504,21299,6364,1363,0,2100,8487,9698,5736,UTC+00:00
2025/11/19 17:00:00,40933,24796,6180,2282,22941,6300,1503,21297,6360,1363,0,2100,8558,9698,6231,UTC+00:00
2025/11/19 18:00:00,40934,24793,6194,2282,22940,6295,1503,21298,6360,1362,0,2100,8625,9692,6496,UTC+00:00
2025/11/19 19:00:00,40935,24791,6213,2282,22938,6290,1503,21296,6358,1361,0,2100,8668,9684,6763,UTC+00:00
2025/11/19 20:00:00,40936,24788,6238,2280,22937,6290,1502,21298,6350,1362,0,2100,8651,9677,6982,UTC+00:00
2025/11/19 21:00:00,40937,24784,6261,2281,22935,6292,1501,21297,6350,1362,0,2100,8656,9669,7061,UTC+00:00
2025/11/19 22:00:00,40938,24781,6283,2281,22934,6300,1496,21299,6350,1362,0,2100,8586,9667,6935,UTC+00:00
2025/11/19 23:00:00,40939,24776,6297,2282,22934,6305,1493,21298,6350,1362,0,2100,8548,9666,6579,UTC+00:00
2025/11/20 00:00:00,40940,24774,6300,2283,22932,6313,1497,21297,6350,1362,0,2100,8520,9664,6362,UTC+00:00
2025/11/20 01:00:00,40941,24771,6300,2283,22931,6320,1503,21296,6350,1362,0,2100,8502,9662,6271,UTC+00:00
2025/11/20 02:00:00,40942,24770,6298,2283,22930,6327,1504,21298,6350,1363,0,2100,8490,9655,6201,UTC+00:00
2025/11/20 03:00:00,40943,24768,6290,2283,22930,6330,1505,21298,6350,1364,0,2100,8474,9656,6152,UTC+00:00
2025/11/20 04:00:00,40944,24768,6286,2283,22929,6330,1505,21298,6350,1362,0,2100,8467,9654,6144,UTC+00:00
2025/11/20 05:00:00,40945,24767,6280,2281,22928,6330,1505,21298,6350,1365,0,2100,8454,9655,6110,UTC+00:00
2025/11/20 06:00:00,40946,24769,6280,2282,22932,6338,1505,21297,6355,1365,0,2100,8445,9650,6078,UTC+00:00
2025/11/20 07:00:00,40948,24767,6273,2281,22928,6333,1506,21301,6360,1365,0,2100,8428,9645,6090,UTC+00:00
2025/11/20 08:00:00,40949,24765,6270,2282,22927,6330,1505,21302,6360,1365,0,2100,8417,9643,6047,UTC+00:00
2025/11/20 09:00:00,40950,24763,6270,2282,22928,6330,1505,21301,6360,1366,0,2100,8412,9647,5899,UTC+00:00
2025/11/20 10:00:00,40951,24763,6260,2281,22926,6330,1505,21302,6360,1367,0,2100,8404,9647,5894,UTC+00:00
2025/11/20 11:00:00,40952,24761,6260,2281,22926,6330,1505,21301,6360,1364,0,2100,8402,9640,5881,UTC+00:00
2025/11/20 12:00:00,40953,24760,6254,2278,22925,6330,1505,21302,6360,1367,0,2100,8395,9638,5820,UTC+00:00
2025/11/20 13:00:00,40954,24759,6250,2280,22925,6325,1505,21302,6360,1366,0,2100,8386,9637,5794,UTC+00:00
2025/11/20 14:00:00,40955,24759,6240,2280,22924,6320,1504,21303,6360,1365,0,2100,8384,9638,5853,UTC+00:00
2025/11/20 15:00:00,40956,24757,6240,2280,22924,6320,1503,21301,6360,1366,0,2100,8383,9640,5943,UTC+00:00
2025/11/20 16:00:00,40957,24756,6239,2281,22924,6320,1500,21302,6360,1366,0,2100,8397,9646,6044,UTC+00:00
2025/11/20 17:00:00,40958,24755,6240,2280,22923,6310,1499,21302,6354,1366,0,2100,8406,9651,6151,UTC+00:00
2025/11/20 18:00:00,40959,24754,6244,2278,22922,6310,1496,21302,6350,1365,0,2100,8438,9645,6222,UTC+00:00
2025/11/20 19:00:00,40960,24753,6253,2277,22922,6310,1494,21300,6350,1366,0,2100,8523,9637,6406,UTC+00:00
2025/11/20 20:00:00,40961,24751,6264,2278,22920,6310,1493,21300,6350,1367,0,2100,8540,9631,6586,UTC+00:00
2025/11/20 21:00:00,40962,24748,6277,2280,22920,6310,1494,21301,6350,1366,0,2100,8520,9628,6533,UTC+00:00
2025/11/20 22:00:00,40963,24746,6289,2279,22919,6313,1498,21300,6350,1368,0,2100,8494,9628,6409,UTC+00:00
2025/11/20 23:00:00,40964,24744,6297,2280,22918,6320,1502,21301,6350,1367,0,2100,8477,9630,6303,UTC+00:00
2025/11/21 00:00:00,40965,24742,6300,2281,22918,6320,1503,21302,6350,1368,0,2100,8461,9624,6166,UTC+00:00
2025/11/21 01:00:00,40966,24739,6299,2282,22918,6328,1505,21301,6350,1370,0,2100,8447,9620,6046,UTC+00:00
2025/11/21 02:00:00,40967,24738,6290,2282,22916,6330,1505,21301,6350,1368,0,2100,8437,9627,5950,UTC+00:00
2025/11/21 03:00:00,40968,24743,6285,2282,22920,6330,1505,21299,6350,1373,0,2100,8429,9628,5905,UTC+00:00
2025/11/21 04:00:00,40969,24752,6279,2282,22922,6330,1505,21293,6350,1380,0,2100,8418,9619,5882,UTC+00:00
2025/11/21 05:00:00,40970,24758,6269,2283,22919,6330,1505,21296,6350,1380,0,2100,8414,9617,5875,UTC+00:00
2025/11/21 06:00:00,40971,24769,6260,2285,22919,6330,1504,21297,6357,1378,0,2100,8406,9613,5849,UTC+00:00
2025/11/21 07:00:00,40973,24770,6248,2285,22918,6330,1505,21294,6360,1377,0,2100,8393,9607,5789,UTC+00:00
2025/11/21 08:00:00,40974,24771,6237,2285,22914,6324,1503,21298,6360,1375,0,2100,8389,9604,5763,UTC+00:00
2025/11/21 09:00:00,40975,24848,6225,2288,22915,6320,1502,21297,6360,1377,0,2100,8385,9593,5739,UTC+00:00
2025/11/21 10:00:00,40976,25531,6213,2338,23007,6316,1502,21295,6354,1378,0,2100,8377,9588,5743,UTC+00:00
2025/11/21 11:00:00,40977,26040,6200,2374,23158,6310,1504,21293,6350,1378,0,2100,8374,9588,5770,UTC+00:00
2025/11/21 12:00:00,40978,26237,6191,2383,23330,6300,1504,21293,6350,1377,0,2100,8372,9591,5792,UTC+00:00
2025/11/21 13:00:00,40979,26656,6184,2398,24079,6296,1534,21296,6350,1374,0,2100,8365,9587,5766,UTC+00:00
2025/11/21 14:00:00,40980,26782,6172,2404,24717,6286,1653,21288,6348,1372,0,2100,8361,9591,5718,UTC+00:00
2025/11/21 15:00:00,40981,26717,6160,2402,24684,6280,1701,21287,6340,1376,0,2100,8354,9594,5685,UTC+00:00
2025/11/21 16:00:00,40982,26751,6150,2404,24743,6270,1725,21290,6340,1380,0,2100,8358,9598,5662,UTC+00:00
