z6-12553,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 3073,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2025/11/18 23:00:00,0.233,13.1,0.584,0.187,12.7,0.387,0.252,13.5,1.296,100,8355,96.71,16.1
2025/11/19 00:00:00,0.23,12.9,0.538,0.187,12.8,0.387,0.252,13.5,1.297,100,8352,96.79,12.0
2025/11/19 01:00:00,0.23,12.6,0.541,0.187,12.8,0.386,0.252,13.5,1.296,100,8343,96.87,9.3
2025/11/19 02:00:00,0.23,12.3,0.543,0.187,12.9,0.387,0.252,13.5,1.296,100,8336,96.93,7.6
2025/11/19 03:00:00,0.23,12.0,0.544,0.187,12.9,0.387,0.252,13.5,1.3,100,8327,97.01,5.4
2025/11/19 04:00:00,0.23,11.8,0.546,0.187,12.8,0.389,0.252,13.5,1.299,100,8320,97.05,3.6
2025/11/19 05:00:00,0.23,11.4,0.544,0.187,12.8,0.389,0.252,13.5,1.299,100,8317,97.07,2.7
2025/11/19 06:00:00,0.23,11.2,0.545,0.187,12.7,0.388,0.252,13.5,1.302,100,8313,97.09,1.9
2025/11/19 07:00:00,0.23,10.8,0.545,0.187,12.6,0.39,0.252,13.5,1.302,100,8291,97.08,1.7
2025/11/19 08:00:00,0.23,10.6,0.542,0.187,12.5,0.388,0.252,13.5,1.299,100,8291,97.1,2.6
