z6-12547,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3050,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/19 22:00:00,40654,25531,6369,2377,25516,6275,2418,23007,6340,1881,2100,8582,9662,6899,UTC+00:00
2025/11/19 23:00:00,40655,25528,6394,2379,25519,6290,2417,23013,6340,1881,2100,8540,9662,6576,UTC+00:00
2025/11/20 00:00:00,40656,25521,6400,2379,25518,6304,2414,23014,6340,1881,2100,8516,9660,6386,UTC+00:00
2025/11/20 01:00:00,40657,25517,6392,2379,25516,6317,2413,23015,6340,1881,2100,8495,9658,6289,UTC+00:00
2025/11/20 02:00:00,40658,25513,6380,2380,25514,6325,2414,23015,6340,1881,2100,8477,9650,6209,UTC+00:00
2025/11/20 03:00:00,40659,25511,6367,2378,25510,6330,2415,23016,6350,1881,2100,8467,9652,6154,UTC+00:00
2025/11/20 04:00:00,40660,25509,6355,2377,25509,6330,2419,23018,6350,1881,2100,8455,9650,6147,UTC+00:00
2025/11/20 05:00:00,40661,25508,6343,2379,25501,6330,2415,23015,6350,1881,2100,8441,9651,6114,UTC+00:00
2025/11/20 06:00:00,40662,25508,6333,2377,25499,6330,2412,23002,6359,1881,2100,8432,9646,6080,UTC+00:00
2025/11/20 07:00:00,40664,25508,6321,2377,25498,6330,2412,23013,6360,1880,2100,8406,9641,6098,UTC+00:00
2025/11/20 08:00:00,40665,25508,6309,2375,25497,6329,2411,23018,6360,1881,2100,8399,9640,6045,UTC+00:00
2025/11/20 09:00:00,40666,25506,6300,2376,25495,6320,2411,23019,6360,1883,2100,8390,9644,5905,UTC+00:00
2025/11/20 10:00:00,40667,25503,6287,2375,25495,6320,2410,23019,6360,1882,2100,8387,9643,5893,UTC+00:00
2025/11/20 11:00:00,40668,25501,6276,2375,25494,6316,2410,23019,6360,1882,2100,8381,9637,5895,UTC+00:00
2025/11/20 12:00:00,40669,25499,6265,2375,25494,6310,2411,23021,6360,1882,2100,8372,9635,5841,UTC+00:00
2025/11/20 13:00:00,40670,25496,6255,2373,25494,6305,2411,23021,6360,1882,2100,8370,9634,5825,UTC+00:00
2025/11/20 14:00:00,40671,25496,6243,2368,25494,6300,2411,23022,6360,1883,2100,8363,9635,5879,UTC+00:00
2025/11/20 15:00:00,40672,25497,6233,2372,25493,6295,2410,23023,6360,1882,2100,8365,9636,5890,UTC+00:00
2025/11/20 16:00:00,40673,25495,6230,2372,25495,6290,2410,23022,6360,1881,2100,8377,9642,5976,UTC+00:00
2025/11/20 17:00:00,40674,25494,6234,2370,25493,6281,2410,23021,6360,1881,2100,8393,9647,6092,UTC+00:00
2025/11/20 18:00:00,40675,25491,6246,2371,25493,6280,2409,23023,6355,1881,2100,8434,9641,6223,UTC+00:00
2025/11/20 19:00:00,40676,25488,6266,2367,25492,6280,2410,23021,6350,1882,2100,8539,9634,6427,UTC+00:00
2025/11/20 20:00:00,40677,25489,6295,2369,25490,6280,2410,23020,6350,1882,2100,8549,9628,6602,UTC+00:00
2025/11/20 21:00:00,40678,25487,6328,2369,25489,6285,2409,23021,6350,1883,2100,8528,9624,6525,UTC+00:00
2025/11/20 22:00:00,40679,25483,6350,2371,25487,6294,2408,23021,6350,1882,2100,8500,9624,6408,UTC+00:00
2025/11/20 23:00:00,40680,25479,6360,2371,25488,6302,2417,23023,6350,1882,2100,8477,9626,6306,UTC+00:00
2025/11/21 00:00:00,40681,25476,6360,2372,25491,6310,2418,23023,6350,1882,2100,8457,9621,6180,UTC+00:00
2025/11/21 01:00:00,40682,25474,6354,2372,25490,6320,2417,23022,6350,1884,2100,8447,9618,6063,UTC+00:00
2025/11/21 02:00:00,40683,25471,6343,2372,25484,6320,2412,23017,6350,1883,2100,8433,9623,5957,UTC+00:00
2025/11/21 03:00:00,40684,25461,6334,2371,25478,6320,2409,23004,6350,1884,2100,8424,9624,5905,UTC+00:00
2025/11/21 04:00:00,40685,25668,6316,2368,25475,6320,2409,23002,6356,1885,2100,8415,9617,5883,UTC+00:00
2025/11/21 05:00:00,40686,26347,6300,2392,25476,6320,2409,23004,6360,1884,2100,8407,9615,5876,UTC+00:00
2025/11/21 06:00:00,40687,27190,6283,2465,25500,6320,2409,23004,6360,1884,2100,8397,9610,5851,UTC+00:00
2025/11/21 07:00:00,40689,27498,6266,2502,26030,6312,2411,23003,6360,1885,2100,8385,9605,5793,UTC+00:00
2025/11/21 08:00:00,40690,27782,6251,2523,26715,6307,2431,23005,6360,1887,2100,8378,9602,5768,UTC+00:00
2025/11/21 09:00:00,40691,28033,6227,2538,27290,6300,2494,23002,6360,1892,2100,8373,9588,5743,UTC+00:00
2025/11/21 10:00:00,40692,27745,6216,2531,27244,6290,2503,23005,6360,1892,2100,8370,9585,5747,UTC+00:00
2025/11/21 11:00:00,40693,27635,6209,2521,27144,6282,2501,23005,6360,1892,2100,8366,9586,5774,UTC+00:00
2025/11/21 12:00:00,40694,27881,6199,2530,27206,6277,2501,23007,6356,1892,2100,8362,9586,5795,UTC+00:00
2025/11/21 13:00:00,40695,28486,6179,2548,27640,6265,2510,23019,6350,1900,2100,8355,9585,5772,UTC+00:00
2025/11/21 14:00:00,40696,28317,6168,2537,27590,6256,2508,23049,6350,1930,2100,8348,9588,5725,UTC+00:00
2025/11/21 15:00:00,40697,28203,6160,2530,27420,6249,2504,23078,6343,1971,2100,8344,9592,5689,UTC+00:00
2025/11/21 16:00:00,40698,28363,6150,2535,27566,6240,2505,23121,6340,2042,2100,8342,9595,5663,UTC+00:00
2025/11/21 17:00:00,40699,28321,6140,2531,27577,6232,2504,23258,6338,2204,2100,8338,9597,5678,UTC+00:00
2025/11/21 18:00:00,40700,28215,6137,2524,27463,6226,2502,23365,6330,2288,2100,8331,9597,5686,UTC+00:00
2025/11/21 19:00:00,40701,28077,6130,2521,27396,6220,2500,23509,6327,2396,2100,8328,9594,5689,UTC+00:00
2025/11/21 20:00:00,40702,27753,6130,2513,27316,6216,2498,23644,6320,2454,2100,8325,9593,5677,UTC+00:00
2025/11/21 21:00:00,40703,27751,6130,2513,27266,6210,2498,23788,6320,2479,2100,8323,9597,5653,UTC+00:00
2025/11/21 22:00:00,40704,27882,6130,2519,27333,6210,2498,24016,6315,2496,2100,8318,9601,5638,UTC+00:00
2025/11/21 23:00:00,40705,27787,6130,2517,27335,6200,2498,24525,6310,2513,2100,8312,9605,5587,UTC+00:00
2025/11/22 00:00:00,40706,27693,6122,2510,27283,6200,2498,25158,6310,2522,2100,8309,9615,5497,UTC+00:00
2025/11/22 01:00:00,40707,27625,6118,2509,27228,6200,2497,25598,6303,2525,2100,8304,9622,5452,UTC+00:00
2025/11/22 02:00:00,40708,27570,6110,2506,27167,6191,2495,25826,6300,2529,2100,8302,9626,5442,UTC+00:00
2025/11/22 03:00:00,40709,27524,6102,2504,27113,6190,2494,25947,6300,2530,2100,8298,9637,5442,UTC+00:00
2025/11/22 04:00:00,40710,27484,6094,2499,27072,6184,2492,26012,6300,2531,2100,8295,9643,5441,UTC+00:00
2025/11/22 05:00:00,40711,27451,6090,2496,27036,6180,2491,26060,6291,2531,2100,8290,9647,5423,UTC+00:00
2025/11/22 06:00:00,40712,27418,6080,2497,26994,6175,2489,26095,6290,2530,2100,8289,9650,5417,UTC+00:00
2025/11/22 07:00:00,40714,27393,6073,2496,26961,6170,2488,26119,6290,2530,2100,8267,9656,5418,UTC+00:00
