TIMESTAMP,PRECIP,TEMP2MAVG,RELHUM2MAVG,SRAVG,WDIR2M,WSPD2MAVG
2021-07-01 00:00:00,0.0,22.48,97.98,0.0,222.35,0.4
2021-07-01 01:00:00,0.0,22.27,98.31,0.0,212.89,0.56
2021-07-01 02:00:00,0.0,21.88,98.33,0.0,230.28,0.3
2021-07-01 03:00:00,0.0,21.68,98.4,0.0,213.4,0.43
2021-07-01 04:00:00,0.0,21.48,98.02,0.0,235.21,0.35
2021-07-01 05:00:00,0.0,21.09,98.27,0.59,148.23,0.2
2021-07-01 06:00:00,0.0,21.12,98.09,30.12,136.46,0.15
2021-07-01 07:00:00,0.0,21.66,93.88,96.27,329.54,0.94
2021-07-01 08:00:00,0.0,22.44,90.1,181.99,1.61,1.79
2021-07-01 09:00:00,0.0,23.43,85.26,222.18,18.34,2.34
2021-07-01 10:00:00,0.0,24.28,79.32,271.5,32.59,2.3
2021-07-01 11:00:00,0.0,25.05,75.01,364.67,35.7,1.92
2021-07-01 12:00:00,0.0,26.17,63.98,438.62,28.88,3.11
2021-07-01 13:00:00,0.0,26.83,59.12,586.75,33.16,3.37
2021-07-01 14:00:00,0.0,27.59,53.33,571.46,25.05,3.06
2021-07-01 15:00:00,0.0,28.27,47.64,688.78,28.58,2.83
2021-07-01 16:00:00,0.0,28.86,45.44,669.83,28.53,2.51
2021-07-01 17:00:00,0.0,28.52,46.26,350.71,52.85,2.59
2021-07-01 18:00:00,0.0,28.04,48.97,223.52,40.44,2.5
2021-07-01 19:00:00,0.0,27.93,46.94,190.86,29.82,2.2
2021-07-01 20:00:00,0.0,26.38,55.08,41.56,17.41,0.69
2021-07-01 21:00:00,0.0,23.22,71.8,0.15,183.42,0.5
2021-07-01 22:00:00,0.0,21.3,81.49,0.0,186.95,0.57
2021-07-01 23:00:00,0.0,20.54,86.6,0.0,181.66,0.71
2021-07-02 00:00:00,0.0,20.25,87.72,0.0,176.32,0.28
2021-07-02 01:00:00,0.0,19.31,92.81,0.0,172.01,0.52
2021-07-02 02:00:00,0.0,19.12,92.93,0.0,190.85,0.4
2021-07-02 03:00:00,0.0,18.83,93.32,0.0,175.05,0.36
2021-07-02 04:00:00,0.0,18.2,95.8,0.0,188.52,0.37
2021-07-02 05:00:00,0.0,17.63,97.08,0.08,161.7,0.26
2021-07-02 06:00:00,0.0,17.66,98.53,41.71,179.51,0.35
2021-07-02 07:00:00,0.0,19.87,92.66,179.25,18.44,0.78
2021-07-02 08:00:00,0.0,22.53,80.89,362.12,38.59,1.83
2021-07-02 09:00:00,0.0,24.61,74.3,562.27,63.08,1.59
2021-07-02 10:00:00,0.0,25.97,69.2,720.42,62.46,1.57
2021-07-02 11:00:00,0.0,27.15,61.22,704.22,38.19,1.65
2021-07-02 12:00:00,0.0,28.23,53.65,868.35,44.65,1.85
2021-07-02 13:00:00,0.0,28.96,47.26,752.3,56.62,2.22
2021-07-02 14:00:00,0.0,29.7,40.21,912.06,61.62,2.29
2021-07-02 15:00:00,0.0,30.27,33.4,846.62,70.49,2.1
2021-07-02 16:00:00,0.0,30.47,30.18,711.61,66.69,2.36
2021-07-02 17:00:00,0.0,30.21,31.42,547.59,88.28,2.03
2021-07-02 18:00:00,0.0,29.83,35.12,363.05,83.98,1.91
2021-07-02 19:00:00,0.0,28.91,41.62,180.17,85.78,1.79
2021-07-02 20:00:00,0.0,26.34,54.78,38.49,109.22,0.75
2021-07-02 21:00:00,0.0,23.65,67.32,0.35,174.57,0.35
2021-07-02 22:00:00,0.0,21.77,75.22,0.0,184.25,0.41
2021-07-02 23:00:00,0.0,20.82,79.68,0.0,218.14,0.16
2021-07-03 00:00:00,0.0,19.79,84.32,0.0,212.56,0.53
2021-07-03 01:00:00,0.0,18.91,87.75,0.0,207.41,0.48
2021-07-03 02:00:00,0.0,18.59,91.35,0.0,227.7,0.45
2021-07-03 03:00:00,0.0,17.66,94.15,0.0,186.93,0.49
2021-07-03 04:00:00,0.0,16.71,95.56,0.0,181.73,0.54
2021-07-03 05:00:00,0.0,16.21,94.82,0.14,179.18,0.67
2021-07-03 06:00:00,0.0,16.37,93.84,35.67,187.05,0.38
