timestamp_utc,vwc_5cm,temp_5cm,ec_5cm,vwc_20cm,temp_20cm,ec_20cm,vwc_40cm,temp_40cm,ec_40cm
2021-06-30 19:00:00,0.25,25.3,0.522,0.219,24.0,1.037,0.273,23.0,1.565
2021-06-30 20:00:00,0.249,25.8,0.519,0.219,24.1,1.039,0.274,23.0,1.568
2021-06-30 21:00:00,0.248,26.1,0.523,0.219,24.3,1.038,0.273,22.9,1.565
2021-06-30 22:00:00,0.247,26.6,0.525,0.219,24.4,1.038,0.273,22.9,1.569
2021-06-30 23:00:00,0.246,26.9,0.527,0.219,24.6,1.036,0.273,22.9,1.566
2021-07-01 00:00:00,0.245,27.0,0.528,0.219,24.8,1.035,0.273,22.9,1.566
2021-07-01 01:00:00,0.245,26.8,0.53,0.219,24.9,1.034,0.273,22.9,1.569
2021-07-01 02:00:00,0.244,26.6,0.531,0.219,25.0,1.036,0.273,23.0,1.569
2021-07-01 03:00:00,0.244,26.3,0.535,0.219,25.0,1.038,0.273,23.0,1.569
2021-07-01 04:00:00,0.244,26.0,0.534,0.219,25.0,1.04,0.273,23.0,1.569
2021-07-01 05:00:00,0.244,25.6,0.534,0.219,25.0,1.038,0.273,23.0,1.569
2021-07-01 06:00:00,0.245,25.3,0.53,0.219,24.9,1.037,0.273,23.1,1.572
2021-07-01 07:00:00,0.245,25.0,0.534,0.219,24.8,1.037,0.273,23.1,1.572
2021-07-01 08:00:00,0.245,24.8,0.535,0.219,24.7,1.035,0.273,23.1,1.572
2021-07-01 09:00:00,0.245,24.6,0.535,0.219,24.6,1.033,0.273,23.1,1.572
2021-07-01 10:00:00,0.245,24.4,0.534,0.219,24.5,1.031,0.273,23.1,1.571
2021-07-01 11:00:00,0.245,24.2,0.534,0.219,24.4,1.035,0.273,23.1,1.572
2021-07-01 12:00:00,0.245,24.0,0.534,0.219,24.3,1.038,0.273,23.1,1.572
2021-07-01 13:00:00,0.245,23.8,0.535,0.219,24.2,1.038,0.273,23.1,1.572
2021-07-01 14:00:00,0.246,23.8,0.535,0.219,24.1,1.036,0.273,23.1,1.568
2021-07-01 15:00:00,0.245,23.8,0.533,0.219,24.0,1.034,0.273,23.1,1.565
2021-07-01 16:00:00,0.245,23.9,0.53,0.219,23.9,1.039,0.273,23.0,1.561
2021-07-01 17:00:00,0.245,24.0,0.53,0.219,23.9,1.037,0.273,23.0,1.562
2021-07-01 18:00:00,0.244,24.3,0.531,0.219,23.9,1.033,0.273,23.0,1.562
2021-07-01 19:00:00,0.243,24.6,0.532,0.219,23.9,1.034,0.273,23.0,1.558
2021-07-01 20:00:00,0.241,24.9,0.533,0.219,23.9,1.039,0.273,23.0,1.562
2021-07-01 21:00:00,0.24,25.3,0.532,0.219,24.0,1.037,0.273,22.9,1.566
2021-07-01 22:00:00,0.238,25.8,0.531,0.219,24.1,1.034,0.273,22.9,1.567
2021-07-01 23:00:00,0.236,26.3,0.53,0.219,24.2,1.032,0.273,22.9,1.567
2021-07-02 00:00:00,0.235,26.5,0.534,0.219,24.4,1.032,0.273,22.9,1.567
2021-07-02 01:00:00,0.234,26.4,0.537,0.219,24.6,1.026,0.273,22.9,1.567
2021-07-02 02:00:00,0.234,26.2,0.538,0.219,24.7,1.025,0.273,22.9,1.567
2021-07-02 03:00:00,0.234,25.8,0.537,0.219,24.7,1.029,0.273,22.9,1.567
2021-07-02 04:00:00,0.234,25.4,0.54,0.219,24.7,1.029,0.273,23.0,1.567
2021-07-02 05:00:00,0.234,25.0,0.543,0.219,24.7,1.023,0.273,23.0,1.57
2021-07-02 06:00:00,0.234,24.6,0.542,0.219,24.6,1.025,0.273,23.0,1.566
2021-07-02 07:00:00,0.234,24.2,0.54,0.219,24.5,1.028,0.273,23.0,1.567
2021-07-02 08:00:00,0.234,23.9,0.54,0.219,24.3,1.034,0.273,23.0,1.566
2021-07-02 09:00:00,0.235,23.6,0.539,0.219,24.2,1.032,0.273,23.0,1.566
2021-07-02 10:00:00,0.235,23.4,0.537,0.219,24.0,1.036,0.273,23.0,1.559
2021-07-02 11:00:00,0.235,23.1,0.538,0.219,23.9,1.037,0.273,23.0,1.556
2021-07-02 12:00:00,0.235,22.9,0.537,0.219,23.8,1.037,0.273,23.0,1.559
2021-07-02 13:00:00,0.235,22.6,0.537,0.219,23.6,1.036,0.273,23.0,1.563
2021-07-02 14:00:00,0.235,22.6,0.536,0.219,23.5,1.034,0.273,23.0,1.563
2021-07-02 15:00:00,0.234,22.7,0.533,0.219,23.3,1.035,0.273,22.9,1.564
2021-07-02 16:00:00,0.233,23.2,0.531,0.219,23.2,1.033,0.273,22.9,1.564
2021-07-02 17:00:00,0.231,24.1,0.529,0.219,23.2,1.028,0.273,22.8,1.564
2021-07-02 18:00:00,0.23,24.9,0.53,0.219,23.3,1.03,0.273,22.8,1.565
2021-07-02 19:00:00,0.228,25.7,0.533,0.219,23.5,1.029,0.273,22.8,1.565
2021-07-02 20:00:00,0.225,26.6,0.533,0.219,23.8,1.03,0.273,22.8,1.558
2021-07-02 21:00:00,0.223,27.5,0.534,0.219,24.0,1.03,0.273,22.7,1.548
2021-07-02 22:00:00,0.221,28.3,0.54,0.219,24.4,1.026,0.273,22.7,1.549
2021-07-02 23:00:00,0.219,28.8,0.543,0.22,24.8,1.024,0.273,22.7,1.552
2021-07-03 00:00:00,0.217,28.9,0.548,0.22,25.1,1.026,0.272,22.8,1.552
2021-07-03 01:00:00,0.216,28.7,0.549,0.22,25.4,1.026,0.272,22.8,1.549
2021-07-03 02:00:00,0.215,28.3,0.555,0.22,25.6,1.029,0.272,22.8,1.545
2021-07-03 03:00:00,0.215,27.8,0.558,0.22,25.7,1.029,0.272,22.9,1.548
2021-07-03 04:00:00,0.215,27.2,0.561,0.22,25.7,1.029,0.272,22.9,1.558
2021-07-03 05:00:00,0.215,26.6,0.561,0.22,25.7,1.032,0.272,23.0,1.561
2021-07-03 06:00:00,0.215,26.1,0.559,0.22,25.6,1.033,0.272,23.0,1.561
2021-07-03 07:00:00,0.215,25.6,0.558,0.22,25.4,1.032,0.272,23.1,1.561
2021-07-03 08:00:00,0.215,25.1,0.561,0.22,25.2,1.032,0.272,23.2,1.564
2021-07-03 09:00:00,0.215,24.7,0.56,0.22,25.1,1.031,0.272,23.2,1.571
2021-07-03 10:00:00,0.215,24.3,0.557,0.22,24.9,1.032,0.272,23.2,1.567
2021-07-03 11:00:00,0.215,24.0,0.555,0.219,24.7,1.034,0.273,23.2,1.567
2021-07-03 12:00:00,0.215,23.6,0.551,0.219,24.5,1.035,0.273,23.2,1.567
2021-07-03 13:00:00,0.215,23.3,0.553,0.219,24.3,1.029,0.273,23.2,1.566
